周次,日期,阶段,建议投入小时,核心任务,交付物,完成状态,实际投入小时,备注
W01,2026-07-04 至 2026-07-10,基础,10-12,考试结构/软件工程/需求与质量属性,考试目录和第一份错题表,未开始,,
W02,2026-07-11 至 2026-07-17,基础,10-12,架构风格/架构模式/架构评估,架构风格对比表,未开始,,
W03,2026-07-18 至 2026-07-24,基础,10-12,数据库/数据仓库/分布式一致性,数据库与数据平台专题笔记,未开始,,
W04,2026-07-25 至 2026-07-31,基础,10-12,中间件/网络/安全/性能/可靠性,基础知识第一轮复盘,未开始,,
W05,2026-08-01 至 2026-08-07,案例,10-12,数据平台与实时计算案例,2 道实时计算/数据链路案例,未开始,,
W06,2026-08-08 至 2026-08-14,案例,10-12,数据库设计/SQL 优化/数据一致性,2 道数据库/性能案例,未开始,,
W07,2026-08-15 至 2026-08-21,案例,10-12,高可用/容错/监控/容量规划,2 道可靠性案例,未开始,,
W08,2026-08-22 至 2026-08-28,案例,10-12,安全/权限/数据治理/综合案例,1 次案例小模拟和专题复盘,未开始,,
W09,2026-08-29 至 2026-09-04,论文,10-12,论文素材库搭建,5 个项目素材卡片,未开始,,
W10,2026-09-05 至 2026-09-11,论文,10-12,论文 1：数据平台架构设计,论文 1 成稿,未开始,,
W11,2026-09-12 至 2026-09-18,论文,10-12,论文 2：实时计算平台或高可用架构,论文 2 成稿,未开始,,
W12,2026-09-19 至 2026-09-25,论文,10-12,论文 3：性能优化或数据治理安全,论文 3 成稿和 2 个备用提纲,未开始,,
W13,2026-09-26 至 2026-10-02,冲刺,10-12,近年真题第一轮,2 套真题拆解,未开始,,
W14,2026-10-03 至 2026-10-09,冲刺,10-12,错题回炉/论文限时训练,1 篇限时论文和错题二刷,未开始,,
W15,2026-10-10 至 2026-10-16,冲刺,10-12,全真模拟 1/补弱项,第一次全真模拟和复盘,未开始,,
W16,2026-10-17 至 2026-10-23,冲刺,10-12,全真模拟 2/考前收口,第二次全真模拟和考前清单,未开始,,
